순위,상품명,원가,판매가
59,(전국) 도심형 실내 키즈 테마파크 챔피언1250/블랙벨트 39개점 / 키즈카페/챔피언키즈카페,"20,000","19,000"
60,(신선집중) 25년 곱창김 100장 상급 350g 이상,"21,000","15,960"
61,1+1 기모 나이키 소프트브러쉬 스우시 스웻셔츠 2026년 신년 할인 이벤트,"165,000","44,550"
62,(무료반품+20%쿠폰) 5920원~ 다온샵 양말사은품/겨울팬츠/기모/빅사이즈/융바지/슬랙스/레깅스,"41,300","9,430"
63,(최대 15%적립) 아우라 실내건조 섬유유연제 5.7L 스모키머스크,"27,000","16,900"
64,(CGV) G마켓 예매권 (주중/주말 2D)(금요특가_1/9),"15,000","10,100"
65,비타민C 1000 600정 X 1개 (20개월분),"53,700","42,900"
66,(특가) 고고 카카오 프렌즈 낱권 선택구매,"29,600","12,600"
67,(최대 15%적립) 온더바디 코튼풋 발을씻자 풋샴푸 짱구에디션 385ml 초코민트 4개,"24,100","15,900"
68,그레인온 (M)골드카무트효소G 30포 X 3박스,"33,900","25,770"
69,유나네농장 노지감귤 10kg 로얄과(S/M과) 2000박스 2026신년 한정,"23,800","22,850"
70,경북 빨간 사과 부사 가정용 4kg 중대과 12-19과내외,"18,500","16,560"
71,키즈 스텝1 블루베리향/사과향/딸기향 택1 3박스 (3개월분) + 키즈 스텝1 10일분 증정,"234,000","154,440"
72,김하진 궁중 김하진의 궁중 뼈없는 갈비탕 800g x 10팩,"59,900","40,740"
73,햇반 백미 윤기가득쌀밥 210g 36개,"51,000","37,900"
74,콜라겐 링클 아이크림 40ml 1+1+1+1 영양/보습/주름케어,"20,000","9,600"
75,(신선집중) 진주닮은쌀 20kg 25년산 임실농협쌀,,"63,500"
76,(세븐일레븐) 모바일상품권 5만원권,"50,000","45,000"
77,(최대 65% 할인) 냄비 세트/테이블웨어/가마솥 등 주방용품 79종 노마진 초특가,"42,500","24,750"
78,농심 인기라면 4종 혼합세트 (총 20봉),"25,200","14,870"
79,소와나무 트리플 슬라이스 치즈 1.8kg 1개 (100매),"24,570","19,910"
80,10% 흄/카이아크만 FW BEST ITEM - 맨투맨 후드 점퍼 자켓 코트 팬츠 FW 겨울 경량점퍼,"49,600","12,810"
81,올바른 멀티비타민 미네랄 액상 이뮨샷 맥스 비타민 5000%고함량 7개 4박스(총28개입)+추가증정효소/비타민C,"34,430","27,900"
82,무료반품+에잇세컨즈 FW 인기 의류 BEST 50종 마지막 BIG SALE 최대 65%할인 니트/상의/팬츠/스커트/아우터,"40,000","10,990"
83,(10+4%) 4000원~로즈맘 시즌오프 겨울 빅사이즈 티셔츠/패딩/조끼/가디건/홈웨어/기모바지/엄마옷,"33,000","8,520"
84,동서식품맥심 모카골드 마일드 커피믹스 190T,"32,500","29,200"
85,농심 신라면골드 12개,"22,500","14,180"
86,동서 맥심 모카골드 커피믹스 400T,"65,000","61,780"
87,아디다스 퍼포먼스 에어로레디 메쉬 드로즈 1+1 균일가,"48,900","11,910"
88,푸른날개 빵빵 친구들 시리즈,,"39,800"
89,01.10토 1+1특가 선쿠션증정 밀크바오밥 어덜트 키즈 대용량 샴푸 워시 페이셜폼 트리트먼트 헤어바디,"33,100","14,900"
90,삼육두유 검은콩호두와아몬드 190ml x 64팩,"32,900","26,580"
91,메가도스C 3000 고함량 비타민C 100포 X 1개,"32,380","23,900"
92,모윰 올실리콘 마카롱 쪽쪽이(전용케이스 포함) 3개세트 1월10일 원데이 혜택가 25850원,"35,900","28,720"
93,(현대Hmall)제주삼다수 2L x 24펫 (유/무라벨 랜덤발송),,"24,300"
94,(아디다스오리지널스)(신세계 사우스시티)남여공용 클래식 트랙 탑 (KE3526) 아디다스오리지널 네이,"109,000","89,210"
95,1++등급 한우 양지국거리 800G (400g+400g) 외 등심 국거리 5종 택1 (1/12일 정말 오늘만),"47,000","25,500"
96,참치회 참다랑어 1번 통뱃살 1kg (60上A 어체사용),"79,000","75,840"
97,(10%) 9300원~저스트원 여성의류 겨울신상/기모바지/빅사이즈/니트/티셔츠/청바지/슬랙스/치마/융기모,"46,600","12,040"
98,탑텐 FW 클리어런스 티셔츠/스웨터/재킷 외 ~84%,"45,900","12,330"
99,베베쥬 20%쿠폰/새해맞이 겨울 클리어런스/무료배송,"39,600","9,520"
100,(신선집중) 도드람한돈 냉장 칼집 삼겹/등심꽃살 반반팩 1kg 외 30종 (2팩사면 무료배송),"22,000","16,100"
101,마이비데 클린케어 카카오 40매X8팩X2박스(총16팩),"21,100","18,990"
102,(대구신세계)공용) AIRTECH 경량 점퍼/공용) 유아 AIRTECH 경량 점퍼 MKF4JP3321/MKF4JP3221,"19,900","14,190"
103,(리뉴얼)청귤 비타C 잡티케어 패드 알파 70매+70매 리필 기획세트,"38,000","21,900"
104,스팸 클래식 200g 9개,"39,000","26,900"
105,(최대 15%적립) 홈스타 락스와세제 3X 폼스프레이 후로랄 500ML 5개,"24,100","15,900"
106,연양갱 8번들(밤양갱+팥양갱) 4팩(총32개),"17,000","13,090"
107,(신선집중) 석박지 2kg /국밥 설렁탕김치,"10,300","9,890"
108,온작 이영자의 뼈없는 갈비탕 900g 8팩,"65,900","47,980"
109,(1/10 단 하루 신년맞이 특가+사은품 100%증정) 김정문알로에 스킨케어/기초/마스크팩/선케어 BEST모음,"57,740","17,190"
110,2025년 햅쌀 보성다향미 쌀20kg 상등급 백미 새청무쌀 당일도정 쌀유목민정착쌀,"66,400","59,760"
111,남성 긴팔티셔츠 남자 기본 면티 무지 긴팔티 프린트 티 20수 간절기 옷 단체티 쭉티 여성 빅사이즈 의류,"32,650","8,410"
112,햇반 버섯야채죽 268G 8개,"30,000","17,900"
113,rTG 알티지 오메가3 6개월분(180캡슐) 식물성캡슐 비타민D,"31,700","25,690"
114,Fire Silver Fox PRO V6+ 3모드 무선 게이밍 마우스 55g 2.4G/BT 1K 500mah S203센서,"19,500","17,940"
115,사조 마일드참치 12입 (100gx6+85gx6),"21,900","13,900"
116,신라면 10입 + 짜파게티 5입 + 오징어짬뽕 5입 (총 20입),"24,700","16,060"
117,백점 국어/수학/사회/과학 1~6학년 선택구매 - 2권이상무배,"96,000","48,000"
118,세타필 로션 473ml 3개 + 대용량 로션 118g 1개,"49,900","29,900"
119,(~95%OFF+무배)신년맞이 특가대전 미쏘 외 여성브랜드연합 자켓/니트/팬츠/티셔츠/스커트/블라우스/신발,"48,900","11,040"
120,(한정특가) 패드3팩 9.200원부터~) 좋은느낌 BEST생리대 오리지널+유기농+센서티브+라네이처 소중대 3팩,"19,300","13,520"
121,신대장떡볶이4팩 230g 맛별선택 1인분4팩 떡볶이 1인분(230g) 최저가 4팩구성,"11,600","7,100"
122,새콤 달콤 조생 노지감귤 10kg 박스포함중량,"12,900","11,100"
